REPKEY,REPKEYDAY,REP,TEAM,TARGETENROLLMENTS,TARGETDEBT,TARGETDATE,TARGETDAY,TARGETENROLLMENTSDAY,TARGETDEBTDAY,DIRECTORKEY,DIRECTORKEYDAY
202606_Marcus Lee,20260601_Marcus Lee,Marcus Lee,Gamma,19,475000,202606,20260601,0.86,21590.91,202606_Brian Derenda,20260601_Brian Derenda
202606_Sofia Cruz,20260601_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202606,20260601,1.68,42045.45,202606_Brian Derenda,20260601_Brian Derenda
202606_Alexander Dagen,20260601_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202606,20260601,1.18,29545.45,202606_Brian Derenda,20260601_Brian Derenda
202606_Victor Chen,20260601_Victor Chen,Victor Chen,Gamma,22,550000,202606,20260601,1.0,25000.0,202606_Brian Derenda,20260601_Brian Derenda
202607_Evan Baker,20260701_Evan Baker,Evan Baker,Alpha,22,550000,202607,20260701,1.0,25000.0,202607_Alan Day,20260701_Alan Day
202607_Jay Harris,20260701_Jay Harris,Jay Harris,Alpha,15,375000,202607,20260701,0.68,17045.45,202607_Alan Day,20260701_Alan Day
202607_Jenna Marks,20260701_Jenna Marks,Jenna Marks,Alpha,17,425000,202607,20260701,0.77,19318.18,202607_Alan Day,20260701_Alan Day
202607_Naddia Bazar,20260701_Naddia Bazar,Naddia Bazar,Beta,30,750000,202607,20260701,1.36,34090.91,202607_Bryan Reed,20260701_Bryan Reed
202607_Tara Singh,20260701_Tara Singh,Tara Singh,Beta,28,700000,202607,20260701,1.27,31818.18,202607_Bryan Reed,20260701_Bryan Reed
202607_Lisa Wong,20260701_Lisa Wong,Lisa Wong,Beta,24,600000,202607,20260701,1.09,27272.73,202607_Bryan Reed,20260701_Bryan Reed
202607_Marcus Lee,20260701_Marcus Lee,Marcus Lee,Gamma,19,475000,202607,20260701,0.86,21590.91,202607_Brian Derenda,20260701_Brian Derenda
202607_Sofia Cruz,20260701_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202607,20260701,1.68,42045.45,202607_Brian Derenda,20260701_Brian Derenda
202607_Alexander Dagen,20260701_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202607,20260701,1.18,29545.45,202607_Brian Derenda,20260701_Brian Derenda
202607_Victor Chen,20260701_Victor Chen,Victor Chen,Gamma,22,550000,202607,20260701,1.0,25000.0,202607_Brian Derenda,20260701_Brian Derenda
202608_Evan Baker,20260801_Evan Baker,Evan Baker,Alpha,22,550000,202608,20260801,1.0,25000.0,202608_Alan Day,20260801_Alan Day
202608_Jay Harris,20260801_Jay Harris,Jay Harris,Alpha,15,375000,202608,20260801,0.68,17045.45,202608_Alan Day,20260801_Alan Day
202608_Jenna Marks,20260801_Jenna Marks,Jenna Marks,Alpha,17,425000,202608,20260801,0.77,19318.18,202608_Alan Day,20260801_Alan Day
202608_Naddia Bazar,20260801_Naddia Bazar,Naddia Bazar,Beta,30,750000,202608,20260801,1.36,34090.91,202608_Bryan Reed,20260801_Bryan Reed
202608_Tara Singh,20260801_Tara Singh,Tara Singh,Beta,28,700000,202608,20260801,1.27,31818.18,202608_Bryan Reed,20260801_Bryan Reed
202608_Lisa Wong,20260801_Lisa Wong,Lisa Wong,Beta,24,600000,202608,20260801,1.09,27272.73,202608_Bryan Reed,20260801_Bryan Reed
202608_Marcus Lee,20260801_Marcus Lee,Marcus Lee,Gamma,19,475000,202608,20260801,0.86,21590.91,202608_Brian Derenda,20260801_Brian Derenda
202608_Sofia Cruz,20260801_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202608,20260801,1.68,42045.45,202608_Brian Derenda,20260801_Brian Derenda
202608_Alexander Dagen,20260801_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202608,20260801,1.18,29545.45,202608_Brian Derenda,20260801_Brian Derenda
202608_Victor Chen,20260801_Victor Chen,Victor Chen,Gamma,22,550000,202608,20260801,1.0,25000.0,202608_Brian Derenda,20260801_Brian Derenda
202609_Evan Baker,20260901_Evan Baker,Evan Baker,Alpha,22,550000,202609,20260901,1.0,25000.0,202609_Alan Day,20260901_Alan Day
202609_Jay Harris,20260901_Jay Harris,Jay Harris,Alpha,15,375000,202609,20260901,0.68,17045.45,202609_Alan Day,20260901_Alan Day
202609_Jenna Marks,20260901_Jenna Marks,Jenna Marks,Alpha,17,425000,202609,20260901,0.77,19318.18,202609_Alan Day,20260901_Alan Day
202609_Naddia Bazar,20260901_Naddia Bazar,Naddia Bazar,Beta,30,750000,202609,20260901,1.36,34090.91,202609_Bryan Reed,20260901_Bryan Reed
202609_Tara Singh,20260901_Tara Singh,Tara Singh,Beta,28,700000,202609,20260901,1.27,31818.18,202609_Bryan Reed,20260901_Bryan Reed
202609_Lisa Wong,20260901_Lisa Wong,Lisa Wong,Beta,24,600000,202609,20260901,1.09,27272.73,202609_Bryan Reed,20260901_Bryan Reed
202609_Marcus Lee,20260901_Marcus Lee,Marcus Lee,Gamma,19,475000,202609,20260901,0.86,21590.91,202609_Brian Derenda,20260901_Brian Derenda
202609_Sofia Cruz,20260901_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202609,20260901,1.68,42045.45,202609_Brian Derenda,20260901_Brian Derenda
202609_Alexander Dagen,20260901_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202609,20260901,1.18,29545.45,202609_Brian Derenda,20260901_Brian Derenda
202609_Victor Chen,20260901_Victor Chen,Victor Chen,Gamma,22,550000,202609,20260901,1.0,25000.0,202609_Brian Derenda,20260901_Brian Derenda
202610_Evan Baker,20261001_Evan Baker,Evan Baker,Alpha,22,550000,202610,20261001,1.0,25000.0,202610_Alan Day,20261001_Alan Day
202610_Jay Harris,20261001_Jay Harris,Jay Harris,Alpha,15,375000,202610,20261001,0.68,17045.45,202610_Alan Day,20261001_Alan Day
202610_Jenna Marks,20261001_Jenna Marks,Jenna Marks,Alpha,17,425000,202610,20261001,0.77,19318.18,202610_Alan Day,20261001_Alan Day
202610_Naddia Bazar,20261001_Naddia Bazar,Naddia Bazar,Beta,30,750000,202610,20261001,1.36,34090.91,202610_Bryan Reed,20261001_Bryan Reed
202610_Tara Singh,20261001_Tara Singh,Tara Singh,Beta,28,700000,202610,20261001,1.27,31818.18,202610_Bryan Reed,20261001_Bryan Reed
202610_Lisa Wong,20261001_Lisa Wong,Lisa Wong,Beta,24,600000,202610,20261001,1.09,27272.73,202610_Bryan Reed,20261001_Bryan Reed
202610_Marcus Lee,20261001_Marcus Lee,Marcus Lee,Gamma,19,475000,202610,20261001,0.86,21590.91,202610_Brian Derenda,20261001_Brian Derenda
202610_Sofia Cruz,20261001_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202610,20261001,1.68,42045.45,202610_Brian Derenda,20261001_Brian Derenda
202610_Alexander Dagen,20261001_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202610,20261001,1.18,29545.45,202610_Brian Derenda,20261001_Brian Derenda
202610_Victor Chen,20261001_Victor Chen,Victor Chen,Gamma,22,550000,202610,20261001,1.0,25000.0,202610_Brian Derenda,20261001_Brian Derenda
202611_Evan Baker,20261101_Evan Baker,Evan Baker,Alpha,22,550000,202611,20261101,1.0,25000.0,202611_Alan Day,20261101_Alan Day
202611_Jay Harris,20261101_Jay Harris,Jay Harris,Alpha,15,375000,202611,20261101,0.68,17045.45,202611_Alan Day,20261101_Alan Day
202611_Jenna Marks,20261101_Jenna Marks,Jenna Marks,Alpha,17,425000,202611,20261101,0.77,19318.18,202611_Alan Day,20261101_Alan Day
202611_Naddia Bazar,20261101_Naddia Bazar,Naddia Bazar,Beta,30,750000,202611,20261101,1.36,34090.91,202611_Bryan Reed,20261101_Bryan Reed
202611_Tara Singh,20261101_Tara Singh,Tara Singh,Beta,28,700000,202611,20261101,1.27,31818.18,202611_Bryan Reed,20261101_Bryan Reed
202611_Lisa Wong,20261101_Lisa Wong,Lisa Wong,Beta,24,600000,202611,20261101,1.09,27272.73,202611_Bryan Reed,20261101_Bryan Reed
202611_Marcus Lee,20261101_Marcus Lee,Marcus Lee,Gamma,19,475000,202611,20261101,0.86,21590.91,202611_Brian Derenda,20261101_Brian Derenda
202611_Sofia Cruz,20261101_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202611,20261101,1.68,42045.45,202611_Brian Derenda,20261101_Brian Derenda
202611_Alexander Dagen,20261101_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202611,20261101,1.18,29545.45,202611_Brian Derenda,20261101_Brian Derenda
202611_Victor Chen,20261101_Victor Chen,Victor Chen,Gamma,22,550000,202611,20261101,1.0,25000.0,202611_Brian Derenda,20261101_Brian Derenda
202612_Evan Baker,20261201_Evan Baker,Evan Baker,Alpha,22,550000,202612,20261201,1.0,25000.0,202612_Alan Day,20261201_Alan Day
202612_Jay Harris,20261201_Jay Harris,Jay Harris,Alpha,15,375000,202612,20261201,0.68,17045.45,202612_Alan Day,20261201_Alan Day
202612_Jenna Marks,20261201_Jenna Marks,Jenna Marks,Alpha,17,425000,202612,20261201,0.77,19318.18,202612_Alan Day,20261201_Alan Day
202612_Naddia Bazar,20261201_Naddia Bazar,Naddia Bazar,Beta,30,750000,202612,20261201,1.36,34090.91,202612_Bryan Reed,20261201_Bryan Reed
202612_Tara Singh,20261201_Tara Singh,Tara Singh,Beta,28,700000,202612,20261201,1.27,31818.18,202612_Bryan Reed,20261201_Bryan Reed
202612_Lisa Wong,20261201_Lisa Wong,Lisa Wong,Beta,24,600000,202612,20261201,1.09,27272.73,202612_Bryan Reed,20261201_Bryan Reed
202612_Marcus Lee,20261201_Marcus Lee,Marcus Lee,Gamma,19,475000,202612,20261201,0.86,21590.91,202612_Brian Derenda,20261201_Brian Derenda
202612_Sofia Cruz,20261201_Sofia Cruz,Sofia Cruz,Gamma,37,925000,202612,20261201,1.68,42045.45,202612_Brian Derenda,20261201_Brian Derenda
202612_Alexander Dagen,20261201_Alexander Dagen,Alexander Dagen,Gamma,26,650000,202612,20261201,1.18,29545.45,202612_Brian Derenda,20261201_Brian Derenda
202612_Victor Chen,20261201_Victor Chen,Victor Chen,Gamma,22,550000,202612,20261201,1.0,25000.0,202612_Brian Derenda,20261201_Brian Derenda
