REPKEY,RANKDATE,RANKDATEVALUE,RANKDAYVALUE,ORIGINALREP,ENROLLMENTS,NETENROLLMENTS,TOTALDEBT,NETDEBT,EARLYCANCELLATION,CANCELLEDDEBT,ENROLLDATE
20250703_MARCUS LEE,JUL-2025,202507,20250703,Marcus Lee,3,3,96952,96952,0,0,"Thursday, July 03, 2025"
20250703_SOFIA CRUZ,JUL-2025,202507,20250703,Sofia Cruz,5,5,99595,99595,0,0,"Thursday, July 03, 2025"
20250703_ALEXANDER DAGEN,JUL-2025,202507,20250703,Alexander Dagen,2,2,112603,112603,0,0,"Thursday, July 03, 2025"
20250703_VICTOR CHEN,JUL-2025,202507,20250703,Victor Chen,0,0,0,0,0,0,"Thursday, July 03, 2025"
20250704_EVAN BAKER,JUL-2025,202507,20250704,Evan Baker,4,3,123405,76202,1,47203,"Friday, July 04, 2025"
20250704_JAY HARRIS,JUL-2025,202507,20250704,Jay Harris,1,1,9051,9051,0,0,"Friday, July 04, 2025"
20250704_JENNA MARKS,JUL-2025,202507,20250704,Jenna Marks,3,3,47062,47062,0,0,"Friday, July 04, 2025"
20250704_NADDIA BAZAR,JUL-2025,202507,20250704,Naddia Bazar,4,4,214566,214566,0,0,"Friday, July 04, 2025"
20250704_TARA SINGH,JUL-2025,202507,20250704,Tara Singh,3,3,71380,71380,0,0,"Friday, July 04, 2025"
20250704_LISA WONG,JUL-2025,202507,20250704,Lisa Wong,2,1,34317,14939,1,19378,"Friday, July 04, 2025"
20250704_MARCUS LEE,JUL-2025,202507,20250704,Marcus Lee,1,1,12326,12326,0,0,"Friday, July 04, 2025"
20250704_SOFIA CRUZ,JUL-2025,202507,20250704,Sofia Cruz,6,6,213581,213581,0,0,"Friday, July 04, 2025"
20250704_ALEXANDER DAGEN,JUL-2025,202507,20250704,Alexander Dagen,4,4,174533,174533,0,0,"Friday, July 04, 2025"
20250704_VICTOR CHEN,JUL-2025,202507,20250704,Victor Chen,2,2,87680,87680,0,0,"Friday, July 04, 2025"
20250707_EVAN BAKER,JUL-2025,202507,20250707,Evan Baker,1,0,39596,0,1,39596,"Monday, July 07, 2025"
20250707_JAY HARRIS,JUL-2025,202507,20250707,Jay Harris,4,4,165240,165240,0,0,"Monday, July 07, 2025"
20250707_JENNA MARKS,JUL-2025,202507,20250707,Jenna Marks,2,2,72489,72489,0,0,"Monday, July 07, 2025"
20250707_NADDIA BAZAR,JUL-2025,202507,20250707,Naddia Bazar,6,5,174128,124052,1,50076,"Monday, July 07, 2025"
20250707_TARA SINGH,JUL-2025,202507,20250707,Tara Singh,2,2,45785,45785,0,0,"Monday, July 07, 2025"
20250707_LISA WONG,JUL-2025,202507,20250707,Lisa Wong,5,5,152691,152691,0,0,"Monday, July 07, 2025"
20250707_MARCUS LEE,JUL-2025,202507,20250707,Marcus Lee,3,3,75607,75607,0,0,"Monday, July 07, 2025"
20250707_SOFIA CRUZ,JUL-2025,202507,20250707,Sofia Cruz,2,2,48616,48616,0,0,"Monday, July 07, 2025"
20250707_ALEXANDER DAGEN,JUL-2025,202507,20250707,Alexander Dagen,4,4,140457,140457,0,0,"Monday, July 07, 2025"
20250707_VICTOR CHEN,JUL-2025,202507,20250707,Victor Chen,4,4,108777,108777,0,0,"Monday, July 07, 2025"
20250708_EVAN BAKER,JUL-2025,202507,20250708,Evan Baker,3,3,140873,140873,0,0,"Tuesday, July 08, 2025"
20250708_JAY HARRIS,JUL-2025,202507,20250708,Jay Harris,3,3,63802,63802,0,0,"Tuesday, July 08, 2025"
20250708_JENNA MARKS,JUL-2025,202507,20250708,Jenna Marks,0,0,0,0,0,0,"Tuesday, July 08, 2025"
20250708_NADDIA BAZAR,JUL-2025,202507,20250708,Naddia Bazar,5,4,229351,189763,1,39588,"Tuesday, July 08, 2025"
20250708_TARA SINGH,JUL-2025,202507,20250708,Tara Singh,5,4,163755,124243,1,39512,"Tuesday, July 08, 2025"
20250708_LISA WONG,JUL-2025,202507,20250708,Lisa Wong,5,4,149428,129001,1,20427,"Tuesday, July 08, 2025"
20250708_MARCUS LEE,JUL-2025,202507,20250708,Marcus Lee,1,1,10544,10544,0,0,"Tuesday, July 08, 2025"
20250708_SOFIA CRUZ,JUL-2025,202507,20250708,Sofia Cruz,4,4,143952,143952,0,0,"Tuesday, July 08, 2025"
20250708_ALEXANDER DAGEN,JUL-2025,202507,20250708,Alexander Dagen,3,3,119374,119374,0,0,"Tuesday, July 08, 2025"
20250708_VICTOR CHEN,JUL-2025,202507,20250708,Victor Chen,1,1,35789,35789,0,0,"Tuesday, July 08, 2025"
20250709_EVAN BAKER,JUL-2025,202507,20250709,Evan Baker,3,3,169303,169303,0,0,"Wednesday, July 09, 2025"
20250709_JAY HARRIS,JUL-2025,202507,20250709,Jay Harris,2,2,55540,55540,0,0,"Wednesday, July 09, 2025"
20250709_JENNA MARKS,JUL-2025,202507,20250709,Jenna Marks,3,3,124701,124701,0,0,"Wednesday, July 09, 2025"
20250709_NADDIA BAZAR,JUL-2025,202507,20250709,Naddia Bazar,5,5,163472,163472,0,0,"Wednesday, July 09, 2025"
20250709_TARA SINGH,JUL-2025,202507,20250709,Tara Singh,4,4,185468,185468,0,0,"Wednesday, July 09, 2025"
20250709_LISA WONG,JUL-2025,202507,20250709,Lisa Wong,4,4,191110,191110,0,0,"Wednesday, July 09, 2025"
20250709_MARCUS LEE,JUL-2025,202507,20250709,Marcus Lee,2,2,42501,42501,0,0,"Wednesday, July 09, 2025"
20250709_SOFIA CRUZ,JUL-2025,202507,20250709,Sofia Cruz,1,1,61502,61502,0,0,"Wednesday, July 09, 2025"
20250709_ALEXANDER DAGEN,JUL-2025,202507,20250709,Alexander Dagen,5,5,171875,171875,0,0,"Wednesday, July 09, 2025"
20250709_VICTOR CHEN,JUL-2025,202507,20250709,Victor Chen,4,3,117688,96520,1,21168,"Wednesday, July 09, 2025"
20250710_EVAN BAKER,JUL-2025,202507,20250710,Evan Baker,2,2,83712,83712,0,0,"Thursday, July 10, 2025"
20250710_JAY HARRIS,JUL-2025,202507,20250710,Jay Harris,5,4,175307,148097,1,27210,"Thursday, July 10, 2025"
20250710_JENNA MARKS,JUL-2025,202507,20250710,Jenna Marks,2,2,108871,108871,0,0,"Thursday, July 10, 2025"
20250710_NADDIA BAZAR,JUL-2025,202507,20250710,Naddia Bazar,4,4,143489,143489,0,0,"Thursday, July 10, 2025"
20250710_TARA SINGH,JUL-2025,202507,20250710,Tara Singh,1,1,47608,47608,0,0,"Thursday, July 10, 2025"
20250710_LISA WONG,JUL-2025,202507,20250710,Lisa Wong,3,3,124314,124314,0,0,"Thursday, July 10, 2025"
20250710_MARCUS LEE,JUL-2025,202507,20250710,Marcus Lee,1,0,48029,0,1,48029,"Thursday, July 10, 2025"
20250710_SOFIA CRUZ,JUL-2025,202507,20250710,Sofia Cruz,6,5,233776,216676,1,17100,"Thursday, July 10, 2025"
20250710_ALEXANDER DAGEN,JUL-2025,202507,20250710,Alexander Dagen,2,2,92925,92925,0,0,"Thursday, July 10, 2025"
20250710_VICTOR CHEN,JUL-2025,202507,20250710,Victor Chen,4,3,137071,116755,1,20316,"Thursday, July 10, 2025"
20250711_EVAN BAKER,JUL-2025,202507,20250711,Evan Baker,1,1,34225,34225,0,0,"Friday, July 11, 2025"
20250711_JAY HARRIS,JUL-2025,202507,20250711,Jay Harris,2,1,111176,51144,1,60032,"Friday, July 11, 2025"
20250711_JENNA MARKS,JUL-2025,202507,20250711,Jenna Marks,4,4,183433,183433,0,0,"Friday, July 11, 2025"
20250711_NADDIA BAZAR,JUL-2025,202507,20250711,Naddia Bazar,2,1,68820,27749,1,41071,"Friday, July 11, 2025"
20250711_TARA SINGH,JUL-2025,202507,20250711,Tara Singh,8,7,279451,224543,1,54908,"Friday, July 11, 2025"
20250711_LISA WONG,JUL-2025,202507,20250711,Lisa Wong,3,3,152565,152565,0,0,"Friday, July 11, 2025"
20250711_MARCUS LEE,JUL-2025,202507,20250711,Marcus Lee,1,1,43031,43031,0,0,"Friday, July 11, 2025"
20250711_SOFIA CRUZ,JUL-2025,202507,20250711,Sofia Cruz,3,3,116244,116244,0,0,"Friday, July 11, 2025"
20250711_ALEXANDER DAGEN,JUL-2025,202507,20250711,Alexander Dagen,3,3,160737,160737,0,0,"Friday, July 11, 2025"
20250711_VICTOR CHEN,JUL-2025,202507,20250711,Victor Chen,0,0,0,0,0,0,"Friday, July 11, 2025"
20250714_EVAN BAKER,JUL-2025,202507,20250714,Evan Baker,1,1,64108,64108,0,0,"Monday, July 14, 2025"
20250714_JAY HARRIS,JUL-2025,202507,20250714,Jay Harris,0,0,0,0,0,0,"Monday, July 14, 2025"
20250714_JENNA MARKS,JUL-2025,202507,20250714,Jenna Marks,2,1,83603,56534,1,27069,"Monday, July 14, 2025"
20250714_NADDIA BAZAR,JUL-2025,202507,20250714,Naddia Bazar,5,5,93316,93316,0,0,"Monday, July 14, 2025"
20250714_TARA SINGH,JUL-2025,202507,20250714,Tara Singh,3,3,122651,122651,0,0,"Monday, July 14, 2025"
20250714_LISA WONG,JUL-2025,202507,20250714,Lisa Wong,2,2,111702,111702,0,0,"Monday, July 14, 2025"
20250714_MARCUS LEE,JUL-2025,202507,20250714,Marcus Lee,2,2,71981,71981,0,0,"Monday, July 14, 2025"
20250714_SOFIA CRUZ,JUL-2025,202507,20250714,Sofia Cruz,6,5,221146,167077,1,54069,"Monday, July 14, 2025"
20250714_ALEXANDER DAGEN,JUL-2025,202507,20250714,Alexander Dagen,1,1,25920,25920,0,0,"Monday, July 14, 2025"
20250714_VICTOR CHEN,JUL-2025,202507,20250714,Victor Chen,2,2,103660,103660,0,0,"Monday, July 14, 2025"
20250715_EVAN BAKER,JUL-2025,202507,20250715,Evan Baker,0,0,0,0,0,0,"Tuesday, July 15, 2025"
20250715_JAY HARRIS,JUL-2025,202507,20250715,Jay Harris,2,1,94943,62256,1,32687,"Tuesday, July 15, 2025"
20250715_JENNA MARKS,JUL-2025,202507,20250715,Jenna Marks,4,4,133001,133001,0,0,"Tuesday, July 15, 2025"
20250715_NADDIA BAZAR,JUL-2025,202507,20250715,Naddia Bazar,1,1,27601,27601,0,0,"Tuesday, July 15, 2025"
20250715_TARA SINGH,JUL-2025,202507,20250715,Tara Singh,2,2,39525,39525,0,0,"Tuesday, July 15, 2025"
20250715_LISA WONG,JUL-2025,202507,20250715,Lisa Wong,0,0,0,0,0,0,"Tuesday, July 15, 2025"
20250715_MARCUS LEE,JUL-2025,202507,20250715,Marcus Lee,1,1,33648,33648,0,0,"Tuesday, July 15, 2025"
20250715_SOFIA CRUZ,JUL-2025,202507,20250715,Sofia Cruz,5,5,150374,150374,0,0,"Tuesday, July 15, 2025"
20250715_ALEXANDER DAGEN,JUL-2025,202507,20250715,Alexander Dagen,4,4,133967,133967,0,0,"Tuesday, July 15, 2025"
20250715_VICTOR CHEN,JUL-2025,202507,20250715,Victor Chen,0,0,0,0,0,0,"Tuesday, July 15, 2025"
20250716_EVAN BAKER,JUL-2025,202507,20250716,Evan Baker,0,0,0,0,0,0,"Wednesday, July 16, 2025"
20250716_JAY HARRIS,JUL-2025,202507,20250716,Jay Harris,2,2,78792,78792,0,0,"Wednesday, July 16, 2025"
20250716_JENNA MARKS,JUL-2025,202507,20250716,Jenna Marks,1,1,64108,64108,0,0,"Wednesday, July 16, 2025"
20250716_NADDIA BAZAR,JUL-2025,202507,20250716,Naddia Bazar,3,3,152703,152703,0,0,"Wednesday, July 16, 2025"
20250716_TARA SINGH,JUL-2025,202507,20250716,Tara Singh,4,4,117369,117369,0,0,"Wednesday, July 16, 2025"
20250716_LISA WONG,JUL-2025,202507,20250716,Lisa Wong,3,2,109575,85519,1,24056,"Wednesday, July 16, 2025"
20250716_MARCUS LEE,JUL-2025,202507,20250716,Marcus Lee,0,0,0,0,0,0,"Wednesday, July 16, 2025"
20250716_SOFIA CRUZ,JUL-2025,202507,20250716,Sofia Cruz,5,5,190579,190579,0,0,"Wednesday, July 16, 2025"
20250716_ALEXANDER DAGEN,JUL-2025,202507,20250716,Alexander Dagen,2,2,53035,53035,0,0,"Wednesday, July 16, 2025"
20250716_VICTOR CHEN,JUL-2025,202507,20250716,Victor Chen,4,3,144032,121291,1,22741,"Wednesday, July 16, 2025"
20250717_EVAN BAKER,JUL-2025,202507,20250717,Evan Baker,3,3,139233,139233,0,0,"Thursday, July 17, 2025"
20250717_JAY HARRIS,JUL-2025,202507,20250717,Jay Harris,1,0,29314,0,1,29314,"Thursday, July 17, 2025"
20250717_JENNA MARKS,JUL-2025,202507,20250717,Jenna Marks,2,2,103786,103786,0,0,"Thursday, July 17, 2025"
20250717_NADDIA BAZAR,JUL-2025,202507,20250717,Naddia Bazar,3,2,111018,71000,1,40018,"Thursday, July 17, 2025"
20250717_TARA SINGH,JUL-2025,202507,20250717,Tara Singh,3,2,71937,55874,1,16063,"Thursday, July 17, 2025"
20250717_LISA WONG,JUL-2025,202507,20250717,Lisa Wong,3,2,62688,52394,1,10294,"Thursday, July 17, 2025"
20250717_MARCUS LEE,JUL-2025,202507,20250717,Marcus Lee,1,0,51133,0,1,51133,"Thursday, July 17, 2025"
20250717_SOFIA CRUZ,JUL-2025,202507,20250717,Sofia Cruz,4,4,146569,146569,0,0,"Thursday, July 17, 2025"
20250717_ALEXANDER DAGEN,JUL-2025,202507,20250717,Alexander Dagen,0,0,0,0,0,0,"Thursday, July 17, 2025"
20250717_VICTOR CHEN,JUL-2025,202507,20250717,Victor Chen,2,2,72538,72538,0,0,"Thursday, July 17, 2025"
20250718_EVAN BAKER,JUL-2025,202507,20250718,Evan Baker,5,4,152774,129236,1,23538,"Friday, July 18, 2025"
20250718_JAY HARRIS,JUL-2025,202507,20250718,Jay Harris,3,3,125837,125837,0,0,"Friday, July 18, 2025"
20250718_JENNA MARKS,JUL-2025,202507,20250718,Jenna Marks,3,2,99525,78172,1,21353,"Friday, July 18, 2025"
20250718_NADDIA BAZAR,JUL-2025,202507,20250718,Naddia Bazar,5,5,236583,236583,0,0,"Friday, July 18, 2025"
20250718_TARA SINGH,JUL-2025,202507,20250718,Tara Singh,2,1,58536,25702,1,32834,"Friday, July 18, 2025"
20250718_LISA WONG,JUL-2025,202507,20250718,Lisa Wong,5,4,120107,85449,1,34658,"Friday, July 18, 2025"
20250718_MARCUS LEE,JUL-2025,202507,20250718,Marcus Lee,6,5,195944,155857,1,40087,"Friday, July 18, 2025"
20250718_SOFIA CRUZ,JUL-2025,202507,20250718,Sofia Cruz,7,7,263639,263639,0,0,"Friday, July 18, 2025"
20250718_ALEXANDER DAGEN,JUL-2025,202507,20250718,Alexander Dagen,1,1,63681,63681,0,0,"Friday, July 18, 2025"
20250718_VICTOR CHEN,JUL-2025,202507,20250718,Victor Chen,2,2,55439,55439,0,0,"Friday, July 18, 2025"
20250721_EVAN BAKER,JUL-2025,202507,20250721,Evan Baker,2,2,73546,73546,0,0,"Monday, July 21, 2025"
20250721_JAY HARRIS,JUL-2025,202507,20250721,Jay Harris,0,0,0,0,0,0,"Monday, July 21, 2025"
20250721_JENNA MARKS,JUL-2025,202507,20250721,Jenna Marks,4,4,111992,111992,0,0,"Monday, July 21, 2025"
20250721_NADDIA BAZAR,JUL-2025,202507,20250721,Naddia Bazar,3,3,108147,108147,0,0,"Monday, July 21, 2025"
20250721_TARA SINGH,JUL-2025,202507,20250721,Tara Singh,3,3,115247,115247,0,0,"Monday, July 21, 2025"
20250721_LISA WONG,JUL-2025,202507,20250721,Lisa Wong,0,0,0,0,0,0,"Monday, July 21, 2025"
20250721_MARCUS LEE,JUL-2025,202507,20250721,Marcus Lee,2,1,32028,18820,1,13208,"Monday, July 21, 2025"
20250721_SOFIA CRUZ,JUL-2025,202507,20250721,Sofia Cruz,5,5,210514,210514,0,0,"Monday, July 21, 2025"
20250721_ALEXANDER DAGEN,JUL-2025,202507,20250721,Alexander Dagen,1,1,52353,52353,0,0,"Monday, July 21, 2025"
20250721_VICTOR CHEN,JUL-2025,202507,20250721,Victor Chen,3,3,125132,125132,0,0,"Monday, July 21, 2025"
20250722_EVAN BAKER,JUL-2025,202507,20250722,Evan Baker,2,2,113559,113559,0,0,"Tuesday, July 22, 2025"
20250722_JAY HARRIS,JUL-2025,202507,20250722,Jay Harris,0,0,0,0,0,0,"Tuesday, July 22, 2025"
20250722_JENNA MARKS,JUL-2025,202507,20250722,Jenna Marks,7,7,226948,226948,0,0,"Tuesday, July 22, 2025"
20250722_NADDIA BAZAR,JUL-2025,202507,20250722,Naddia Bazar,1,1,11336,11336,0,0,"Tuesday, July 22, 2025"
20250722_TARA SINGH,JUL-2025,202507,20250722,Tara Singh,2,2,67923,67923,0,0,"Tuesday, July 22, 2025"
20250722_LISA WONG,JUL-2025,202507,20250722,Lisa Wong,4,4,160504,160504,0,0,"Tuesday, July 22, 2025"
20250722_MARCUS LEE,JUL-2025,202507,20250722,Marcus Lee,2,2,72388,72388,0,0,"Tuesday, July 22, 2025"
20250722_SOFIA CRUZ,JUL-2025,202507,20250722,Sofia Cruz,3,3,70573,70573,0,0,"Tuesday, July 22, 2025"
20250722_ALEXANDER DAGEN,JUL-2025,202507,20250722,Alexander Dagen,2,2,62111,62111,0,0,"Tuesday, July 22, 2025"
20250722_VICTOR CHEN,JUL-2025,202507,20250722,Victor Chen,2,2,28780,28780,0,0,"Tuesday, July 22, 2025"
20250723_EVAN BAKER,JUL-2025,202507,20250723,Evan Baker,2,2,76622,76622,0,0,"Wednesday, July 23, 2025"
20250723_JAY HARRIS,JUL-2025,202507,20250723,Jay Harris,2,1,78790,38847,1,39943,"Wednesday, July 23, 2025"
20250723_JENNA MARKS,JUL-2025,202507,20250723,Jenna Marks,1,1,19939,19939,0,0,"Wednesday, July 23, 2025"
20250723_NADDIA BAZAR,JUL-2025,202507,20250723,Naddia Bazar,5,5,138757,138757,0,0,"Wednesday, July 23, 2025"
20250723_TARA SINGH,JUL-2025,202507,20250723,Tara Singh,4,4,104007,104007,0,0,"Wednesday, July 23, 2025"
20250723_LISA WONG,JUL-2025,202507,20250723,Lisa Wong,2,2,72638,72638,0,0,"Wednesday, July 23, 2025"
20250723_MARCUS LEE,JUL-2025,202507,20250723,Marcus Lee,3,3,152513,152513,0,0,"Wednesday, July 23, 2025"
20250723_SOFIA CRUZ,JUL-2025,202507,20250723,Sofia Cruz,6,5,196411,155643,1,40768,"Wednesday, July 23, 2025"
20250723_ALEXANDER DAGEN,JUL-2025,202507,20250723,Alexander Dagen,3,3,110089,110089,0,0,"Wednesday, July 23, 2025"
20250723_VICTOR CHEN,JUL-2025,202507,20250723,Victor Chen,1,1,57866,57866,0,0,"Wednesday, July 23, 2025"
20250724_EVAN BAKER,JUL-2025,202507,20250724,Evan Baker,1,1,20246,20246,0,0,"Thursday, July 24, 2025"
20250724_JAY HARRIS,JUL-2025,202507,20250724,Jay Harris,0,0,0,0,0,0,"Thursday, July 24, 2025"
20250724_JENNA MARKS,JUL-2025,202507,20250724,Jenna Marks,2,2,115716,115716,0,0,"Thursday, July 24, 2025"
20250724_NADDIA BAZAR,JUL-2025,202507,20250724,Naddia Bazar,1,1,39057,39057,0,0,"Thursday, July 24, 2025"
20250724_TARA SINGH,JUL-2025,202507,20250724,Tara Singh,4,4,125774,125774,0,0,"Thursday, July 24, 2025"
20250724_LISA WONG,JUL-2025,202507,20250724,Lisa Wong,1,1,16670,16670,0,0,"Thursday, July 24, 2025"
20250724_MARCUS LEE,JUL-2025,202507,20250724,Marcus Lee,2,2,65981,65981,0,0,"Thursday, July 24, 2025"
20250724_SOFIA CRUZ,JUL-2025,202507,20250724,Sofia Cruz,6,6,253726,253726,0,0,"Thursday, July 24, 2025"
20250724_ALEXANDER DAGEN,JUL-2025,202507,20250724,Alexander Dagen,4,4,98132,98132,0,0,"Thursday, July 24, 2025"
20250724_VICTOR CHEN,JUL-2025,202507,20250724,Victor Chen,3,2,82482,74447,1,8035,"Thursday, July 24, 2025"
20250725_EVAN BAKER,JUL-2025,202507,20250725,Evan Baker,4,4,114524,114524,0,0,"Friday, July 25, 2025"
20250725_JAY HARRIS,JUL-2025,202507,20250725,Jay Harris,5,5,248075,248075,0,0,"Friday, July 25, 2025"
20250725_JENNA MARKS,JUL-2025,202507,20250725,Jenna Marks,1,1,14970,14970,0,0,"Friday, July 25, 2025"
20250725_NADDIA BAZAR,JUL-2025,202507,20250725,Naddia Bazar,3,3,118238,118238,0,0,"Friday, July 25, 2025"
20250725_TARA SINGH,JUL-2025,202507,20250725,Tara Singh,4,4,143913,143913,0,0,"Friday, July 25, 2025"
20250725_LISA WONG,JUL-2025,202507,20250725,Lisa Wong,4,4,173455,173455,0,0,"Friday, July 25, 2025"
20250725_MARCUS LEE,JUL-2025,202507,20250725,Marcus Lee,6,5,237197,200616,1,36581,"Friday, July 25, 2025"
20250725_SOFIA CRUZ,JUL-2025,202507,20250725,Sofia Cruz,2,2,72086,72086,0,0,"Friday, July 25, 2025"
20250725_ALEXANDER DAGEN,JUL-2025,202507,20250725,Alexander Dagen,4,4,174751,174751,0,0,"Friday, July 25, 2025"
20250725_VICTOR CHEN,JUL-2025,202507,20250725,Victor Chen,2,2,100452,100452,0,0,"Friday, July 25, 2025"
20250728_EVAN BAKER,JUL-2025,202507,20250728,Evan Baker,2,2,30509,30509,0,0,"Monday, July 28, 2025"
20250728_JAY HARRIS,JUL-2025,202507,20250728,Jay Harris,1,1,8580,8580,0,0,"Monday, July 28, 2025"
20250728_JENNA MARKS,JUL-2025,202507,20250728,Jenna Marks,2,2,79345,79345,0,0,"Monday, July 28, 2025"
20250728_NADDIA BAZAR,JUL-2025,202507,20250728,Naddia Bazar,2,2,48036,48036,0,0,"Monday, July 28, 2025"
20250728_TARA SINGH,JUL-2025,202507,20250728,Tara Singh,4,4,125454,125454,0,0,"Monday, July 28, 2025"
20250728_LISA WONG,JUL-2025,202507,20250728,Lisa Wong,3,3,57454,57454,0,0,"Monday, July 28, 2025"
20250728_MARCUS LEE,JUL-2025,202507,20250728,Marcus Lee,4,3,141759,112489,1,29270,"Monday, July 28, 2025"
20250728_SOFIA CRUZ,JUL-2025,202507,20250728,Sofia Cruz,5,5,78157,78157,0,0,"Monday, July 28, 2025"
20250728_ALEXANDER DAGEN,JUL-2025,202507,20250728,Alexander Dagen,6,6,243484,243484,0,0,"Monday, July 28, 2025"
20250728_VICTOR CHEN,JUL-2025,202507,20250728,Victor Chen,2,2,43823,43823,0,0,"Monday, July 28, 2025"
20250729_EVAN BAKER,JUL-2025,202507,20250729,Evan Baker,3,3,106187,106187,0,0,"Tuesday, July 29, 2025"
20250729_JAY HARRIS,JUL-2025,202507,20250729,Jay Harris,0,0,0,0,0,0,"Tuesday, July 29, 2025"
20250729_JENNA MARKS,JUL-2025,202507,20250729,Jenna Marks,0,0,0,0,0,0,"Tuesday, July 29, 2025"
20250729_NADDIA BAZAR,JUL-2025,202507,20250729,Naddia Bazar,4,4,203761,203761,0,0,"Tuesday, July 29, 2025"
20250729_TARA SINGH,JUL-2025,202507,20250729,Tara Singh,3,3,85245,85245,0,0,"Tuesday, July 29, 2025"
20250729_LISA WONG,JUL-2025,202507,20250729,Lisa Wong,4,4,117787,117787,0,0,"Tuesday, July 29, 2025"
20250729_MARCUS LEE,JUL-2025,202507,20250729,Marcus Lee,3,3,106008,106008,0,0,"Tuesday, July 29, 2025"
20250729_SOFIA CRUZ,JUL-2025,202507,20250729,Sofia Cruz,3,3,86683,86683,0,0,"Tuesday, July 29, 2025"
20250729_ALEXANDER DAGEN,JUL-2025,202507,20250729,Alexander Dagen,1,1,8615,8615,0,0,"Tuesday, July 29, 2025"
20250729_VICTOR CHEN,JUL-2025,202507,20250729,Victor Chen,1,1,14969,14969,0,0,"Tuesday, July 29, 2025"
20250730_EVAN BAKER,JUL-2025,202507,20250730,Evan Baker,4,4,118316,118316,0,0,"Wednesday, July 30, 2025"
20250730_JAY HARRIS,JUL-2025,202507,20250730,Jay Harris,0,0,0,0,0,0,"Wednesday, July 30, 2025"
20250730_JENNA MARKS,JUL-2025,202507,20250730,Jenna Marks,2,2,96979,96979,0,0,"Wednesday, July 30, 2025"
20250730_NADDIA BAZAR,JUL-2025,202507,20250730,Naddia Bazar,4,2,161502,76740,2,84762,"Wednesday, July 30, 2025"
20250730_TARA SINGH,JUL-2025,202507,20250730,Tara Singh,5,5,161087,161087,0,0,"Wednesday, July 30, 2025"
20250730_LISA WONG,JUL-2025,202507,20250730,Lisa Wong,5,5,167616,167616,0,0,"Wednesday, July 30, 2025"
20250730_MARCUS LEE,JUL-2025,202507,20250730,Marcus Lee,1,1,19885,19885,0,0,"Wednesday, July 30, 2025"
20250730_SOFIA CRUZ,JUL-2025,202507,20250730,Sofia Cruz,5,5,187984,187984,0,0,"Wednesday, July 30, 2025"
20250730_ALEXANDER DAGEN,JUL-2025,202507,20250730,Alexander Dagen,6,5,265094,205396,1,59698,"Wednesday, July 30, 2025"
20250730_VICTOR CHEN,JUL-2025,202507,20250730,Victor Chen,1,1,15416,15416,0,0,"Wednesday, July 30, 2025"
20250731_EVAN BAKER,JUL-2025,202507,20250731,Evan Baker,4,4,103905,103905,0,0,"Thursday, July 31, 2025"
20250731_JAY HARRIS,JUL-2025,202507,20250731,Jay Harris,1,1,53444,53444,0,0,"Thursday, July 31, 2025"
20250731_JENNA MARKS,JUL-2025,202507,20250731,Jenna Marks,0,0,0,0,0,0,"Thursday, July 31, 2025"
20250731_NADDIA BAZAR,JUL-2025,202507,20250731,Naddia Bazar,2,2,67915,67915,0,0,"Thursday, July 31, 2025"
20250731_TARA SINGH,JUL-2025,202507,20250731,Tara Singh,2,2,86203,86203,0,0,"Thursday, July 31, 2025"
20250731_LISA WONG,JUL-2025,202507,20250731,Lisa Wong,4,4,165136,165136,0,0,"Thursday, July 31, 2025"
20250731_MARCUS LEE,JUL-2025,202507,20250731,Marcus Lee,2,1,76297,44593,1,31704,"Thursday, July 31, 2025"
20250731_SOFIA CRUZ,JUL-2025,202507,20250731,Sofia Cruz,5,5,142244,142244,0,0,"Thursday, July 31, 2025"
20250731_ALEXANDER DAGEN,JUL-2025,202507,20250731,Alexander Dagen,5,5,241137,241137,0,0,"Thursday, July 31, 2025"
20250731_VICTOR CHEN,JUL-2025,202507,20250731,Victor Chen,5,3,162897,84423,2,78474,"Thursday, July 31, 2025"
20250801_EVAN BAKER,AUG-2025,202508,20250801,Evan Baker,5,5,165027,165027,0,0,"Friday, August 01, 2025"
20250801_JAY HARRIS,AUG-2025,202508,20250801,Jay Harris,2,2,80367,80367,0,0,"Friday, August 01, 2025"
20250801_JENNA MARKS,AUG-2025,202508,20250801,Jenna Marks,2,0,68611,0,2,68611,"Friday, August 01, 2025"
20250801_NADDIA BAZAR,AUG-2025,202508,20250801,Naddia Bazar,5,5,218389,218389,0,0,"Friday, August 01, 2025"
20250801_TARA SINGH,AUG-2025,202508,20250801,Tara Singh,5,5,179342,179342,0,0,"Friday, August 01, 2025"
20250801_LISA WONG,AUG-2025,202508,20250801,Lisa Wong,4,4,164747,164747,0,0,"Friday, August 01, 2025"
20250801_MARCUS LEE,AUG-2025,202508,20250801,Marcus Lee,4,4,146158,146158,0,0,"Friday, August 01, 2025"
20250801_SOFIA CRUZ,AUG-2025,202508,20250801,Sofia Cruz,5,5,166958,166958,0,0,"Friday, August 01, 2025"
20250801_ALEXANDER DAGEN,AUG-2025,202508,20250801,Alexander Dagen,3,3,115948,115948,0,0,"Friday, August 01, 2025"
20250801_VICTOR CHEN,AUG-2025,202508,20250801,Victor Chen,2,0,67930,0,2,67930,"Friday, August 01, 2025"
20250804_EVAN BAKER,AUG-2025,202508,20250804,Evan Baker,4,4,115036,115036,0,0,"Monday, August 04, 2025"
